[2024-12-01 15:55:02,090: INFO: 3963953584: New row for unique image added successfully !!! 
 {'image_path': 'unique_faces/unique_face_2_1_frame_26.jpg', 'hash': '5c4f6184fd9cfa7e035a659aaa9a2058d2fc65ce', 'score': 0.4, 'no_of_occurance': 1, 'recent_occurance': 1} ]
[2024-12-01 15:55:03,121: INFO: 3963953584: Found faces in frame 12 of video 1]
[2024-12-01 15:55:03,122: INFO: 3963953584: Face is clear]
[2024-12-01 15:55:03,126: INFO: 3963953584: Checking if the face is unique...]
[2024-12-01 15:55:03,248: INFO: 3963953584: Checking the distance of existing faces in dir]
[2024-12-01 15:55:03,249: INFO: 3963953584: face is not unique]
[2024-12-01 15:55:03,249: INFO: 3963953584: result variable is not none and calling the handle_not_unique function]
[2024-12-01 15:55:03,250: INFO: 3963953584: Handling Duplicate image with hash: 72cac7cf6beb8754539e63c603cb649e0939f1c3 and j: 1]
[2024-12-01 15:55:03,250: INFO: 3963953584: This face has already occured in this video]
[2024-12-01 15:55:03,921: INFO: 3963953584: No face in this frame 13 of video 1]
[2024-12-01 15:55:04,607: INFO: 3963953584: No face in this frame 13 of video 1]
[2024-12-01 15:55:05,479: INFO: 3963953584: Found faces in frame 13 of video 1]
[2024-12-01 15:55:05,480: INFO: 3963953584: Face is clear]
[2024-12-01 15:55:05,483: INFO: 3963953584: Checking if the face is unique...]
[2024-12-01 15:55:05,492: INFO: 3963953584: No faces found in image or some other error so we are not considering it unique ]
[2024-12-01 15:55:05,492: INFO: 3963953584: face is not unique]
[2024-12-01 15:55:06,303: INFO: 3963953584: Found faces in frame 14 of video 1]
[2024-12-01 15:55:06,304: INFO: 3963953584: Face is not clear]
[2024-12-01 15:55:07,091: INFO: 3963953584: No face in this frame 15 of video 1]
[2024-12-01 15:55:07,961: INFO: 3963953584: Found faces in frame 15 of video 1]
[2024-12-01 15:55:07,961: INFO: 3963953584: Face is not clear]
[2024-12-01 15:55:08,762: INFO: 3963953584: No face in this frame 16 of video 1]
[2024-12-01 15:55:09,695: INFO: 3963953584: Found faces in frame 16 of video 1]
[2024-12-01 15:55:09,696: INFO: 3963953584: Face is clear]
[2024-12-01 15:55:09,700: INFO: 3963953584: Checking if the face is unique...]
[2024-12-01 15:55:09,844: INFO: 3963953584: Checking the distance of existing faces in dir]
[2024-12-01 15:55:09,844: INFO: 3963953584: face is not unique]
[2024-12-01 15:55:09,844: INFO: 3963953584: result variable is not none and calling the handle_not_unique function]
[2024-12-01 15:55:09,845: INFO: 3963953584: Handling Duplicate image with hash: 72cac7cf6beb8754539e63c603cb649e0939f1c3 and j: 1]
[2024-12-01 15:55:09,845: INFO: 3963953584: This face has already occured in this video]
[2024-12-01 15:55:10,865: INFO: 3963953584: Found faces in frame 17 of video 1]
[2024-12-01 15:55:10,865: INFO: 3963953584: Face is clear]
[2024-12-01 15:55:10,870: INFO: 3963953584: Checking if the face is unique...]
[2024-12-01 15:55:10,987: INFO: 3963953584: Checking the distance of existing faces in dir]
[2024-12-01 15:55:10,987: INFO: 3963953584: face is not unique]
[2024-12-01 15:55:10,988: INFO: 3963953584: result variable is not none and calling the handle_not_unique function]
[2024-12-01 15:55:10,988: INFO: 3963953584: Handling Duplicate image with hash: 72cac7cf6beb8754539e63c603cb649e0939f1c3 and j: 1]
[2024-12-01 15:55:10,988: INFO: 3963953584: This face has already occured in this video]
[2024-12-01 15:55:10,992: INFO: 3963953584: Processing video: https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-904174908300812]
[2024-12-01 15:55:16,893: INFO: 3963953584: Processing video frames of video: 2]
[2024-12-01 15:55:18,433: INFO: 3963953584: Found faces in frame 1 of video 2]
[2024-12-01 15:55:18,435: INFO: 3963953584: Face is clear]
[2024-12-01 15:55:18,442: INFO: 3963953584: Checking if the face is unique...]
[2024-12-01 15:55:18,455: INFO: 3963953584: No faces found in image or some other error so we are not considering it unique ]
[2024-12-01 15:55:18,455: INFO: 3963953584: face is not unique]
[2024-12-01 15:55:18,455: INFO: 3963953584: Face is not clear]
[2024-12-01 15:55:19,541: INFO: 3963953584: Found faces in frame 2 of video 2]
[2024-12-01 15:55:19,541: INFO: 3963953584: Face is clear]
[2024-12-01 15:55:19,547: INFO: 3963953584: Checking if the face is unique...]
[2024-12-01 15:55:19,556: INFO: 3963953584: No faces found in image or some other error so we are not considering it unique ]
[2024-12-01 15:55:19,557: INFO: 3963953584: face is not unique]
[2024-12-01 15:55:20,786: INFO: 3963953584: Found faces in frame 3 of video 2]
[2024-12-01 15:55:20,786: INFO: 3963953584: Face is clear]
[2024-12-01 15:55:20,790: INFO: 3963953584: Checking if the face is unique...]
[2024-12-01 15:55:20,798: INFO: 3963953584: No faces found in image or some other error so we are not considering it unique ]
[2024-12-01 15:55:20,799: INFO: 3963953584: face is not unique]
[2024-12-01 15:55:21,891: INFO: 3963953584: No face in this frame 4 of video 2]
[2024-12-01 15:55:23,270: INFO: 3963953584: Found faces in frame 4 of video 2]
[2024-12-01 15:55:23,271: INFO: 3963953584: Face is not clear]
[2024-12-01 15:55:23,271: INFO: 3963953584: Face is not clear]
[2024-12-01 15:55:24,401: INFO: 3963953584: No face in this frame 5 of video 2]
[2024-12-01 15:55:25,685: INFO: 3963953584: No face in this frame 5 of video 2]
[2024-12-01 15:55:26,873: INFO: 3963953584: No face in this frame 5 of video 2]
[2024-12-01 15:55:27,903: INFO: 3963953584: No face in this frame 5 of video 2]
[2024-12-01 15:55:29,283: INFO: 3963953584: Found faces in frame 5 of video 2]
[2024-12-01 15:55:29,284: INFO: 3963953584: Face is clear]
[2024-12-01 15:55:29,287: INFO: 3963953584: Checking if the face is unique...]
[2024-12-01 15:55:29,301: INFO: 3963953584: No faces found in image or some other error so we are not considering it unique ]
[2024-12-01 15:55:29,301: INFO: 3963953584: face is not unique]
[2024-12-01 15:55:30,667: INFO: 3963953584: Found faces in frame 6 of video 2]
[2024-12-01 15:55:30,668: INFO: 3963953584: Face is clear]
[2024-12-01 15:55:30,671: INFO: 3963953584: Checking if the face is unique...]
[2024-12-01 15:55:30,811: INFO: 3963953584: Checking the distance of existing faces in dir]
[2024-12-01 15:55:30,811: INFO: 3963953584: face is unique and saving it to unique_faces/unique_face_0_2_frame_18.jpg]
[2024-12-01 15:55:30,812: INFO: 3963953584: Adding unique image in the dataframe...]
[2024-12-01 15:55:31,022: INFO: 3963953584: New row for unique image added successfully !!! 
 {'image_path': 'unique_faces/unique_face_0_2_frame_18.jpg', 'hash': 'e994d111d7878dc1eed5f0e7446b4b952c0d1438', 'score': 0.3, 'no_of_occurance': 1, 'recent_occurance': 2} ]
[2024-12-01 15:55:32,604: INFO: 3963953584: Found faces in frame 7 of video 2]
[2024-12-01 15:55:32,604: INFO: 3963953584: Face is clear]
[2024-12-01 15:55:32,608: INFO: 3963953584: Checking if the face is unique...]
[2024-12-01 15:55:32,623: INFO: 3963953584: No faces found in image or some other error so we are not considering it unique ]
[2024-12-01 15:55:32,623: INFO: 3963953584: face is not unique]
[2024-12-01 15:55:32,624: INFO: 3963953584: Face is not clear]
[2024-12-01 15:55:34,148: INFO: 3963953584: Found faces in frame 8 of video 2]
[2024-12-01 15:55:34,149: INFO: 3963953584: Face is clear]
[2024-12-01 15:55:34,152: INFO: 3963953584: Checking if the face is unique...]
[2024-12-01 15:55:34,160: INFO: 3963953584: No faces found in image or some other error so we are not considering it unique ]
[2024-12-01 15:55:34,161: INFO: 3963953584: face is not unique]
[2024-12-01 15:55:34,161: INFO: 3963953584: Face is clear]
[2024-12-01 15:55:34,165: INFO: 3963953584: Checking if the face is unique...]
[2024-12-01 15:55:34,177: INFO: 3963953584: No faces found in image or some other error so we are not considering it unique ]
[2024-12-01 15:55:34,178: INFO: 3963953584: face is not unique]
[2024-12-01 15:55:34,178: INFO: 3963953584: Face is not clear]
[2024-12-01 15:55:34,178: INFO: 3963953584: Face is not clear]
[2024-12-01 15:55:35,216: INFO: 3963953584: Found faces in frame 9 of video 2]
[2024-12-01 15:55:35,217: INFO: 3963953584: Face is not clear]
[2024-12-01 15:55:36,228: INFO: 3963953584: Found faces in frame 10 of video 2]
[2024-12-01 15:55:36,228: INFO: 3963953584: Face is not clear]
[2024-12-01 15:55:37,667: INFO: 3963953584: Found faces in frame 11 of video 2]
[2024-12-01 15:55:37,668: INFO: 3963953584: Face is clear]
[2024-12-01 15:55:37,672: INFO: 3963953584: Checking if the face is unique...]
[2024-12-01 15:55:37,833: INFO: 3963953584: Checking the distance of existing faces in dir]
[2024-12-01 15:55:37,833: INFO: 3963953584: face is not unique]
[2024-12-01 15:55:37,834: INFO: 3963953584: result variable is not none and calling the handle_not_unique function]
[2024-12-01 15:55:37,834: INFO: 3963953584: Handling Duplicate image with hash: 72cac7cf6beb8754539e63c603cb649e0939f1c3 and j: 2]
[2024-12-01 15:55:37,837: INFO: 3963953584: Duplicate image row has been updated !!!]
[2024-12-01 15:55:39,220: INFO: 3963953584: Found faces in frame 12 of video 2]
[2024-12-01 15:55:39,221: INFO: 3963953584: Face is clear]
[2024-12-01 15:55:39,225: INFO: 3963953584: Checking if the face is unique...]
[2024-12-01 15:55:39,330: INFO: 3963953584: Checking the distance of existing faces in dir]
[2024-12-01 15:55:39,331: INFO: 3963953584: face is not unique]
[2024-12-01 15:55:39,331: INFO: 3963953584: result variable is not none and calling the handle_not_unique function]
[2024-12-01 15:55:39,331: INFO: 3963953584: Handling Duplicate image with hash: 72cac7cf6beb8754539e63c603cb649e0939f1c3 and j: 2]
[2024-12-01 15:55:39,331: INFO: 3963953584: This face has already occured in this video]
[2024-12-01 15:55:40,929: INFO: 3963953584: Found faces in frame 13 of video 2]
[2024-12-01 15:55:40,930: INFO: 3963953584: Face is clear]
[2024-12-01 15:55:40,934: INFO: 3963953584: Checking if the face is unique...]
[2024-12-01 15:55:41,072: INFO: 3963953584: Checking the distance of existing faces in dir]
[2024-12-01 15:55:41,072: INFO: 3963953584: face is not unique]
